SearchBayesianSkopt: New best config found. Config 0: {'UserKNNCF_weight': 0.388372543469937, 'Hybrid_weight': 0.6972083059117666} - results: PRECISION: 0.0393878, PRECISION_RECALL_MIN_DEN: 0.0915122, RECALL: 0.0896740, MAP: 0.0188394, MAP_MIN_DEN: 0.0431560, MRR: 0.1413080, NDCG: 0.0787801, F1: 0.0547345, HIT_RATE: 0.2915087, ARHR_ALL_HITS: 0.1626081, NOVELTY: 0.0037708, AVERAGE_POPULARITY: 0.1975014, DIVERSITY_MEAN_INTER_LIST: 0.9432068, DIVERSITY_HERFINDAHL: 0.9943183, COVERAGE_ITEM: 0.1704805, COVERAGE_ITEM_HIT: 0.0433710, ITEMS_IN_GT: 0.8470752, COVERAGE_USER: 0.9315862, COVERAGE_USER_HIT: 0.2715655, USERS_IN_GT: 0.9315862, DIVERSITY_GINI: 0.0177621, SHANNON_ENTROPY: 8.9333423, RATIO_DIVERSITY_HERFINDAHL: 0.9946462, RATIO_DIVERSITY_GINI: 0.0397768, RATIO_SHANNON_ENTROPY: 0.6619462, RATIO_AVERAGE_POPULARITY: 3.8903726, RATIO_NOVELTY: 0.2325007, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'UserKNNCF_weight': 0.941405450174486, 'Hybrid_weight': 0.810470335660848} - results: PRECISION: 0.0386736, PRECISION_RECALL_MIN_DEN: 0.0905601, RECALL: 0.0888052, MAP: 0.0183318, MAP_MIN_DEN: 0.0423839, MRR: 0.1389856, NDCG: 0.0775666, F1: 0.0538821, HIT_RATE: 0.2894201, ARHR_ALL_HITS: 0.1591255, NOVELTY: 0.0037056, AVERAGE_POPULARITY: 0.2143273, DIVERSITY_MEAN_INTER_LIST: 0.9316840, DIVERSITY_HERFINDAHL: 0.9931660, COVERAGE_ITEM: 0.1474542, COVERAGE_ITEM_HIT: 0.0386156, ITEMS_IN_GT: 0.8470752, COVERAGE_USER: 0.9315862, COVERAGE_USER_HIT: 0.2696197, USERS_IN_GT: 0.9315862, DIVERSITY_GINI: 0.0142807, SHANNON_ENTROPY: 8.6298505, RATIO_DIVERSITY_HERFINDAHL: 0.9934935, RATIO_DIVERSITY_GINI: 0.0319806, RATIO_SHANNON_ENTROPY: 0.6394580, RATIO_AVERAGE_POPULARITY: 4.2218090, RATIO_NOVELTY: 0.2284789, 
SearchBayesianSkopt: New best config found. Config 2: {'UserKNNCF_weight': 0.23672177377239184, 'Hybrid_weight': 0.7931651256705835} - results: PRECISION: 0.0397746, PRECISION_RECALL_MIN_DEN: 0.0920080, RECALL: 0.0901155, MAP: 0.0190506, MAP_MIN_DEN: 0.0434649, MRR: 0.1420142, NDCG: 0.0792880, F1: 0.0551899, HIT_RATE: 0.2927980, ARHR_ALL_HITS: 0.1638907, NOVELTY: 0.0038058, AVERAGE_POPULARITY: 0.1887435, DIVERSITY_MEAN_INTER_LIST: 0.9486490, DIVERSITY_HERFINDAHL: 0.9948625, COVERAGE_ITEM: 0.1780606, COVERAGE_ITEM_HIT: 0.0463744, ITEMS_IN_GT: 0.8470752, COVERAGE_USER: 0.9315862, COVERAGE_USER_HIT: 0.2727666, USERS_IN_GT: 0.9315862, DIVERSITY_GINI: 0.0196921, SHANNON_ENTROPY: 9.0898839, RATIO_DIVERSITY_HERFINDAHL: 0.9951905, RATIO_DIVERSITY_GINI: 0.0440990, RATIO_SHANNON_ENTROPY: 0.6735457, RATIO_AVERAGE_POPULARITY: 3.7178615, RATIO_NOVELTY: 0.2346626, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'UserKNNCF_weight': 0.13096906033408498, 'Hybrid_weight': 0.4255482424863972} - results: PRECISION: 0.0397411, PRECISION_RECALL_MIN_DEN: 0.0919484, RECALL: 0.0900601, MAP: 0.0190407, MAP_MIN_DEN: 0.0434374, MRR: 0.1420243, NDCG: 0.0792473, F1: 0.0551472, HIT_RATE: 0.2927207, ARHR_ALL_HITS: 0.1638550, NOVELTY: 0.0038044, AVERAGE_POPULARITY: 0.1890986, DIVERSITY_MEAN_INTER_LIST: 0.9484388, DIVERSITY_HERFINDAHL: 0.9948414, COVERAGE_ITEM: 0.1777388, COVERAGE_ITEM_HIT: 0.0462314, ITEMS_IN_GT: 0.8470752, COVERAGE_USER: 0.9315862, COVERAGE_USER_HIT: 0.2726945, USERS_IN_GT: 0.9315862, DIVERSITY_GINI: 0.0196071, SHANNON_ENTROPY: 9.0834195, RATIO_DIVERSITY_HERFINDAHL: 0.9951695, RATIO_DIVERSITY_GINI: 0.0439085, RATIO_SHANNON_ENTROPY: 0.6730667, RATIO_AVERAGE_POPULARITY: 3.7248555, RATIO_NOVELTY: 0.2345740, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'UserKNNCF_weight': 0.6053230846270518, 'Hybrid_weight': 0.9981455503327401} - results: PRECISION: 0.0393234, PRECISION_RECALL_MIN_DEN: 0.0914455, RECALL: 0.0896134, MAP: 0.0187896, MAP_MIN_DEN: 0.0430665, MRR: 0.1410747, NDCG: 0.0786616, F1: 0.0546609, HIT_RATE: 0.2913282, ARHR_ALL_HITS: 0.1622567, NOVELTY: 0.0037645, AVERAGE_POPULARITY: 0.1990980, DIVERSITY_MEAN_INTER_LIST: 0.9421758, DIVERSITY_HERFINDAHL: 0.9942152, COVERAGE_ITEM: 0.1685140, COVERAGE_ITEM_HIT: 0.0431565, ITEMS_IN_GT: 0.8470752, COVERAGE_USER: 0.9315862, COVERAGE_USER_HIT: 0.2713973, USERS_IN_GT: 0.9315862, DIVERSITY_GINI: 0.0174156, SHANNON_ENTROPY: 8.9047431, RATIO_DIVERSITY_HERFINDAHL: 0.9945430, RATIO_DIVERSITY_GINI: 0.0390010, RATIO_SHANNON_ENTROPY: 0.6598271, RATIO_AVERAGE_POPULARITY: 3.9218231, RATIO_NOVELTY: 0.2321134, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'UserKNNCF_weight': 0.6260750398937353, 'Hybrid_weight': 0.2583057408978385} - results: PRECISION: 0.0374255, PRECISION_RECALL_MIN_DEN: 0.0881782, RECALL: 0.0865065, MAP: 0.0176106, MAP_MIN_DEN: 0.0411260, MRR: 0.1351273, NDCG: 0.0753466, F1: 0.0522472, HIT_RATE: 0.2832831, ARHR_ALL_HITS: 0.1537999, NOVELTY: 0.0036303, AVERAGE_POPULARITY: 0.2348931, DIVERSITY_MEAN_INTER_LIST: 0.9154023, DIVERSITY_HERFINDAHL: 0.9915379, COVERAGE_ITEM: 0.1166333, COVERAGE_ITEM_HIT: 0.0338601, ITEMS_IN_GT: 0.8470752, COVERAGE_USER: 0.9315862, COVERAGE_USER_HIT: 0.2639026, USERS_IN_GT: 0.9315862, DIVERSITY_GINI: 0.0107555, SHANNON_ENTROPY: 8.2613505, RATIO_DIVERSITY_HERFINDAHL: 0.9918649, RATIO_DIVERSITY_GINI: 0.0240862, RATIO_SHANNON_ENTROPY: 0.6121527, RATIO_AVERAGE_POPULARITY: 4.6269126, RATIO_NOVELTY: 0.2238409, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'UserKNNCF_weight': 0.3330155102569285, 'Hybrid_weight': 0.9091185281727845} - results: PRECISION: 0.0396509, PRECISION_RECALL_MIN_DEN: 0.0917952, RECALL: 0.0899069, MAP: 0.0189807, MAP_MIN_DEN: 0.0433056, MRR: 0.1417508, NDCG: 0.0790684, F1: 0.0550316, HIT_RATE: 0.2923339, ARHR_ALL_HITS: 0.1634423, NOVELTY: 0.0037958, AVERAGE_POPULARITY: 0.1912670, DIVERSITY_MEAN_INTER_LIST: 0.9471175, DIVERSITY_HERFINDAHL: 0.9947093, COVERAGE_ITEM: 0.1759153, COVERAGE_ITEM_HIT: 0.0458023, ITEMS_IN_GT: 0.8470752, COVERAGE_USER: 0.9315862, COVERAGE_USER_HIT: 0.2723342, USERS_IN_GT: 0.9315862, DIVERSITY_GINI: 0.0191419, SHANNON_ENTROPY: 9.0457046, RATIO_DIVERSITY_HERFINDAHL: 0.9950373, RATIO_DIVERSITY_GINI: 0.0428667, RATIO_SHANNON_ENTROPY: 0.6702721, RATIO_AVERAGE_POPULARITY: 3.7675681, RATIO_NOVELTY: 0.2340446, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'UserKNNCF_weight': 0.7914256191330339, 'Hybrid_weight': 0.8639110807352187} - results: PRECISION: 0.0389727, PRECISION_RECALL_MIN_DEN: 0.0910084, RECALL: 0.0892174, MAP: 0.0185359, MAP_MIN_DEN: 0.0426902, MRR: 0.1399758, NDCG: 0.0780775, F1: 0.0542482, HIT_RATE: 0.2906320, ARHR_ALL_HITS: 0.1605605, NOVELTY: 0.0037290, AVERAGE_POPULARITY: 0.2082558, DIVERSITY_MEAN_INTER_LIST: 0.9360070, DIVERSITY_HERFINDAHL: 0.9935983, COVERAGE_ITEM: 0.1561785, COVERAGE_ITEM_HIT: 0.0403318, ITEMS_IN_GT: 0.8470752, COVERAGE_USER: 0.9315862, COVERAGE_USER_HIT: 0.2707488, USERS_IN_GT: 0.9315862, DIVERSITY_GINI: 0.0155011, SHANNON_ENTROPY: 8.7405162, RATIO_DIVERSITY_HERFINDAHL: 0.9939260, RATIO_DIVERSITY_GINI: 0.0347135, RATIO_SHANNON_ENTROPY: 0.6476581, RATIO_AVERAGE_POPULARITY: 4.1022136, RATIO_NOVELTY: 0.2299220, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'UserKNNCF_weight': 0.4214814854511423, 'Hybrid_weight': 0.3034469351677685} - results: PRECISION: 0.0385034, PRECISION_RECALL_MIN_DEN: 0.0901869, RECALL: 0.0884390, MAP: 0.0181764, MAP_MIN_DEN: 0.0421511, MRR: 0.1381364, NDCG: 0.0771714, F1: 0.0536495, HIT_RATE: 0.2887496, ARHR_ALL_HITS: 0.1579732, NOVELTY: 0.0036870, AVERAGE_POPULARITY: 0.2193260, DIVERSITY_MEAN_INTER_LIST: 0.9279556, DIVERSITY_HERFINDAHL: 0.9927932, COVERAGE_ITEM: 0.1397669, COVERAGE_ITEM_HIT: 0.0375429, ITEMS_IN_GT: 0.8470752, COVERAGE_USER: 0.9315862, COVERAGE_USER_HIT: 0.2689952, USERS_IN_GT: 0.9315862, DIVERSITY_GINI: 0.0133579, SHANNON_ENTROPY: 8.5408067, RATIO_DIVERSITY_HERFINDAHL: 0.9931206, RATIO_DIVERSITY_GINI: 0.0299140, RATIO_SHANNON_ENTROPY: 0.6328600, RATIO_AVERAGE_POPULARITY: 4.3202726, RATIO_NOVELTY: 0.2273377, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'UserKNNCF_weight': 0.45894311426490486, 'Hybrid_weight': 0.9632624653753301} - results: PRECISION: 0.0395348, PRECISION_RECALL_MIN_DEN: 0.0916974, RECALL: 0.0898383, MAP: 0.0189207, MAP_MIN_DEN: 0.0432608, MRR: 0.1415543, NDCG: 0.0789602, F1: 0.0549069, HIT_RATE: 0.2918182, ARHR_ALL_HITS: 0.1630806, NOVELTY: 0.0037809, AVERAGE_POPULARITY: 0.1949517, DIVERSITY_MEAN_INTER_LIST: 0.9448245, DIVERSITY_HERFINDAHL: 0.9944800, COVERAGE_ITEM: 0.1730549, COVERAGE_ITEM_HIT: 0.0444079, ITEMS_IN_GT: 0.8470752, COVERAGE_USER: 0.9315862, COVERAGE_USER_HIT: 0.2718538, USERS_IN_GT: 0.9315862, DIVERSITY_GINI: 0.0183237, SHANNON_ENTROPY: 8.9792721, RATIO_DIVERSITY_HERFINDAHL: 0.9948080, RATIO_DIVERSITY_GINI: 0.0410345, RATIO_SHANNON_ENTROPY: 0.6653495, RATIO_AVERAGE_POPULARITY: 3.8401494, RATIO_NOVELTY: 0.2331274, 
SearchBayesianSkopt: New best config found. Config 10: {'UserKNNCF_weight': 0.10632306645411696, 'Hybrid_weight': 0.43487471068696903} - results: PRECISION: 0.0398571, PRECISION_RECALL_MIN_DEN: 0.0921006, RECALL: 0.0901944, MAP: 0.0191152, MAP_MIN_DEN: 0.0435700, MRR: 0.1422978, NDCG: 0.0794329, F1: 0.0552841, HIT_RATE: 0.2930301, ARHR_ALL_HITS: 0.1643238, NOVELTY: 0.0038140, AVERAGE_POPULARITY: 0.1867388, DIVERSITY_MEAN_INTER_LIST: 0.9498527, DIVERSITY_HERFINDAHL: 0.9949828, COVERAGE_ITEM: 0.1793121, COVERAGE_ITEM_HIT: 0.0469465, ITEMS_IN_GT: 0.8470752, COVERAGE_USER: 0.9315862, COVERAGE_USER_HIT: 0.2729828, USERS_IN_GT: 0.9315862, DIVERSITY_GINI: 0.0201430, SHANNON_ENTROPY: 9.1256970, RATIO_DIVERSITY_HERFINDAHL: 0.9953109, RATIO_DIVERSITY_GINI: 0.0451088, RATIO_SHANNON_ENTROPY: 0.6761994, RATIO_AVERAGE_POPULARITY: 3.6783717, RATIO_NOVELTY: 0.2351658, 
