SearchBayesianSkopt: New best config found. Config 0: {'norm': 1, 'alpha': 0.5030828870316804, 'beta': 0.08303079948852111, 'gamma': 0.23468894287393555} - results: PRECISION: 0.0401580, PRECISION_RECALL_MIN_DEN: 0.0924895, RECALL: 0.0905219, MAP: 0.0191230, MAP_MIN_DEN: 0.0431827, MRR: 0.1422658, NDCG: 0.0793527, F1: 0.0556349, HIT_RATE: 0.2950274, ARHR_ALL_HITS: 0.1642068, NOVELTY: 0.0038148, AVERAGE_POPULARITY: 0.1839195, DIVERSITY_MEAN_INTER_LIST: 0.9526189, DIVERSITY_HERFINDAHL: 0.9952594, COVERAGE_ITEM: 0.1432709, COVERAGE_ITEM_HIT: 0.0489846, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2744961, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0197971, SHANNON_ENTROPY: 9.1663500, RATIO_DIVERSITY_HERFINDAHL: 0.9955886, RATIO_DIVERSITY_GINI: 0.0443833, RATIO_SHANNON_ENTROPY: 0.6793052, RATIO_AVERAGE_POPULARITY: 3.6103018, RATIO_NOVELTY: 0.2352550, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'norm': 2, 'alpha': 0.20417505857005253, 'beta': 0.04992373401907381, 'gamma': 0.10486091489794461} - results: PRECISION: 0.0397888, PRECISION_RECALL_MIN_DEN: 0.0914820, RECALL: 0.0895259, MAP: 0.0190059, MAP_MIN_DEN: 0.0428943, MRR: 0.1415437, NDCG: 0.0787370, F1: 0.0550924, HIT_RATE: 0.2927037, ARHR_ALL_HITS: 0.1632886, NOVELTY: 0.0038174, AVERAGE_POPULARITY: 0.1794595, DIVERSITY_MEAN_INTER_LIST: 0.9552583, DIVERSITY_HERFINDAHL: 0.9955234, COVERAGE_ITEM: 0.1386227, COVERAGE_ITEM_HIT: 0.0487700, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2723342, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0193074, SHANNON_ENTROPY: 9.1753292, RATIO_DIVERSITY_HERFINDAHL: 0.9958526, RATIO_DIVERSITY_GINI: 0.0432853, RATIO_SHANNON_ENTROPY: 0.6799706, RATIO_AVERAGE_POPULARITY: 3.5227526, RATIO_NOVELTY: 0.2354094, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'norm': 2, 'alpha': 0.6032980462485599, 'beta': 0.29190893820274794, 'gamma': 0.5365714545905488} - results: PRECISION: 0.0389755, PRECISION_RECALL_MIN_DEN: 0.0903858, RECALL: 0.0885119, MAP: 0.0183378, MAP_MIN_DEN: 0.0416845, MRR: 0.1379159, NDCG: 0.0769948, F1: 0.0541198, HIT_RATE: 0.2904575, ARHR_ALL_HITS: 0.1584025, NOVELTY: 0.0037789, AVERAGE_POPULARITY: 0.2021000, DIVERSITY_MEAN_INTER_LIST: 0.9398463, DIVERSITY_HERFINDAHL: 0.9939822, COVERAGE_ITEM: 0.1754148, COVERAGE_ITEM_HIT: 0.0473041, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2702443, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0194702, SHANNON_ENTROPY: 8.9821252, RATIO_DIVERSITY_HERFINDAHL: 0.9943109, RATIO_DIVERSITY_GINI: 0.0436504, RATIO_SHANNON_ENTROPY: 0.6656526, RATIO_AVERAGE_POPULARITY: 3.9671807, RATIO_NOVELTY: 0.2330393, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'norm': 2, 'alpha': 0.9812508094482708, 'beta': 0.5449474566143491, 'gamma': 0.7499509141188614} - results: PRECISION: 0.0295673, PRECISION_RECALL_MIN_DEN: 0.0660205, RECALL: 0.0644275, MAP: 0.0127465, MAP_MIN_DEN: 0.0277758, MRR: 0.0967553, NDCG: 0.0541820, F1: 0.0405330, HIT_RATE: 0.2258081, ARHR_ALL_HITS: 0.1106334, NOVELTY: 0.0036695, AVERAGE_POPULARITY: 0.2186401, DIVERSITY_MEAN_INTER_LIST: 0.9277933, DIVERSITY_HERFINDAHL: 0.9927769, COVERAGE_ITEM: 0.1339745, COVERAGE_ITEM_HIT: 0.0406536, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2100939, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0127795, SHANNON_ENTROPY: 8.4609212, RATIO_DIVERSITY_HERFINDAHL: 0.9931052, RATIO_DIVERSITY_GINI: 0.0286504, RATIO_SHANNON_ENTROPY: 0.6270269, RATIO_AVERAGE_POPULARITY: 4.2918614, RATIO_NOVELTY: 0.2262891, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'norm': 1, 'alpha': 0.44013869173736975, 'beta': 0.24193026537736323, 'gamma': 0.5711191320322138} - results: PRECISION: 0.0389187, PRECISION_RECALL_MIN_DEN: 0.0903535, RECALL: 0.0884800, MAP: 0.0183599, MAP_MIN_DEN: 0.0417505, MRR: 0.1381353, NDCG: 0.0770433, F1: 0.0540591, HIT_RATE: 0.2902510, ARHR_ALL_HITS: 0.1586340, NOVELTY: 0.0037929, AVERAGE_POPULARITY: 0.1990625, DIVERSITY_MEAN_INTER_LIST: 0.9416825, DIVERSITY_HERFINDAHL: 0.9941658, COVERAGE_ITEM: 0.2144951, COVERAGE_ITEM_HIT: 0.0470180, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2700521, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0207785, SHANNON_ENTROPY: 9.0394482, RATIO_DIVERSITY_HERFINDAHL: 0.9944946, RATIO_DIVERSITY_GINI: 0.0465835, RATIO_SHANNON_ENTROPY: 0.6699007, RATIO_AVERAGE_POPULARITY: 3.9075568, RATIO_NOVELTY: 0.2338986, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'norm': 2, 'alpha': 0.4632491542571694, 'beta': 0.3954570652973438, 'gamma': 0.2281231022044729} - results: PRECISION: 0.0398998, PRECISION_RECALL_MIN_DEN: 0.0919632, RECALL: 0.0900283, MAP: 0.0189602, MAP_MIN_DEN: 0.0428816, MRR: 0.1416608, NDCG: 0.0788841, F1: 0.0552938, HIT_RATE: 0.2946659, ARHR_ALL_HITS: 0.1631588, NOVELTY: 0.0038410, AVERAGE_POPULARITY: 0.1832195, DIVERSITY_MEAN_INTER_LIST: 0.9521210, DIVERSITY_HERFINDAHL: 0.9952096, COVERAGE_ITEM: 0.2196081, COVERAGE_ITEM_HIT: 0.0493779, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2741598, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0227345, SHANNON_ENTROPY: 9.2542670, RATIO_DIVERSITY_HERFINDAHL: 0.9955388, RATIO_DIVERSITY_GINI: 0.0509686, RATIO_SHANNON_ENTROPY: 0.6858206, RATIO_AVERAGE_POPULARITY: 3.5965609, RATIO_NOVELTY: 0.2368665, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'norm': 1, 'alpha': 0.3293155532180609, 'beta': 0.7478191509081643, 'gamma': 0.9311705844493162} - results: PRECISION: 0.0215429, PRECISION_RECALL_MIN_DEN: 0.0459141, RECALL: 0.0445213, MAP: 0.0086315, MAP_MIN_DEN: 0.0177571, MRR: 0.0656188, NDCG: 0.0365959, F1: 0.0290359, HIT_RATE: 0.1667613, ARHR_ALL_HITS: 0.0748741, NOVELTY: 0.0038376, AVERAGE_POPULARITY: 0.1884504, DIVERSITY_MEAN_INTER_LIST: 0.9445324, DIVERSITY_HERFINDAHL: 0.9944508, COVERAGE_ITEM: 0.4866276, COVERAGE_ITEM_HIT: 0.0346467, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.1551563, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0386428, SHANNON_ENTROPY: 9.1560541, RATIO_DIVERSITY_HERFINDAHL: 0.9947797, RATIO_DIVERSITY_GINI: 0.0866337, RATIO_SHANNON_ENTROPY: 0.6785422, RATIO_AVERAGE_POPULARITY: 3.6992437, RATIO_NOVELTY: 0.2366555, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'norm': 1, 'alpha': 0.971337136849051, 'beta': 0.8329155782553511, 'gamma': 0.4805676328934967} - results: PRECISION: 0.0296990, PRECISION_RECALL_MIN_DEN: 0.0659381, RECALL: 0.0642866, MAP: 0.0126856, MAP_MIN_DEN: 0.0274778, MRR: 0.0959635, NDCG: 0.0538830, F1: 0.0406285, HIT_RATE: 0.2263761, ARHR_ALL_HITS: 0.1098868, NOVELTY: 0.0037983, AVERAGE_POPULARITY: 0.1945486, DIVERSITY_MEAN_INTER_LIST: 0.9421937, DIVERSITY_HERFINDAHL: 0.9942169, COVERAGE_ITEM: 0.3515089, COVERAGE_ITEM_HIT: 0.0441219, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2106224, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0253113, SHANNON_ENTROPY: 9.0131566, RATIO_DIVERSITY_HERFINDAHL: 0.9945457, RATIO_DIVERSITY_GINI: 0.0567457, RATIO_SHANNON_ENTROPY: 0.6679523, RATIO_AVERAGE_POPULARITY: 3.8189484, RATIO_NOVELTY: 0.2342331, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'norm': 1, 'alpha': 0.4176359293812334, 'beta': 0.3619100375830591, 'gamma': 0.5092772139282452} - results: PRECISION: 0.0385469, PRECISION_RECALL_MIN_DEN: 0.0894837, RECALL: 0.0876308, MAP: 0.0180997, MAP_MIN_DEN: 0.0411536, MRR: 0.1360924, NDCG: 0.0760626, F1: 0.0535419, HIT_RATE: 0.2872818, ARHR_ALL_HITS: 0.1563349, NOVELTY: 0.0038249, AVERAGE_POPULARITY: 0.1933014, DIVERSITY_MEAN_INTER_LIST: 0.9448520, DIVERSITY_HERFINDAHL: 0.9944828, COVERAGE_ITEM: 0.3012371, COVERAGE_ITEM_HIT: 0.0482337, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2672896, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0248813, SHANNON_ENTROPY: 9.1678276, RATIO_DIVERSITY_HERFINDAHL: 0.9948116, RATIO_DIVERSITY_GINI: 0.0557817, RATIO_SHANNON_ENTROPY: 0.6794147, RATIO_AVERAGE_POPULARITY: 3.7944672, RATIO_NOVELTY: 0.2358736, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'norm': 1, 'alpha': 0.3723820205206055, 'beta': 0.39639864016629756, 'gamma': 0.48816640659417077} - results: PRECISION: 0.0384359, PRECISION_RECALL_MIN_DEN: 0.0890675, RECALL: 0.0872103, MAP: 0.0181098, MAP_MIN_DEN: 0.0411037, MRR: 0.1361947, NDCG: 0.0759203, F1: 0.0533563, HIT_RATE: 0.2865331, ARHR_ALL_HITS: 0.1564408, NOVELTY: 0.0038397, AVERAGE_POPULARITY: 0.1904704, DIVERSITY_MEAN_INTER_LIST: 0.9465172, DIVERSITY_HERFINDAHL: 0.9946493, COVERAGE_ITEM: 0.3371711, COVERAGE_ITEM_HIT: 0.0483767, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2665930, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0271480, SHANNON_ENTROPY: 9.2325403, RATIO_DIVERSITY_HERFINDAHL: 0.9949782, RATIO_DIVERSITY_GINI: 0.0608633, RATIO_SHANNON_ENTROPY: 0.6842105, RATIO_AVERAGE_POPULARITY: 3.7388942, RATIO_NOVELTY: 0.2367888, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'norm': 2, 'alpha': 0.537929658790944, 'beta': 0.3619497371861193, 'gamma': 0.7638460814764484} - results: PRECISION: 0.0338273, PRECISION_RECALL_MIN_DEN: 0.0772648, RECALL: 0.0755556, MAP: 0.0152001, MAP_MIN_DEN: 0.0341139, MRR: 0.1154126, NDCG: 0.0645860, F1: 0.0467321, HIT_RATE: 0.2562997, ARHR_ALL_HITS: 0.1319674, NOVELTY: 0.0037037, AVERAGE_POPULARITY: 0.2184323, DIVERSITY_MEAN_INTER_LIST: 0.9274969, DIVERSITY_HERFINDAHL: 0.9927473, COVERAGE_ITEM: 0.1980835, COVERAGE_ITEM_HIT: 0.0423341, ITEMS_IN_GT: 0.8487557, COVERAGE_USER: 0.9304091, COVERAGE_USER_HIT: 0.2384636, USERS_IN_GT: 0.9304091, DIVERSITY_GINI: 0.0158517, SHANNON_ENTROPY: 8.6116446, RATIO_DIVERSITY_HERFINDAHL: 0.9930756, RATIO_DIVERSITY_GINI: 0.0355380, RATIO_SHANNON_ENTROPY: 0.6381968, RATIO_AVERAGE_POPULARITY: 4.2877805, RATIO_NOVELTY: 0.2284009, 
